Channel1_Column3,Channel2_Column3,Channel3_Column3,Channel4_Column3,Channel5_Column3,Channel6_Column3
-0.003329,-0.008109,-0.007089,0.004348,0.007692,0.007785
-0.001892,-0.007812,-0.006727,0.004348,0.007601,0.007638
-0.001174,-0.007514,-0.006004,0.004348,0.007419,0.007418
-0.000384,-0.006845,-0.005552,0.004422,0.007328,0.006979
0.001196,-0.006473,-0.0051,0.004422,0.007146,0.006686
0.002058,-0.006101,-0.004196,0.004422,0.006964,0.00632
0.00292,-0.005283,-0.003654,0.004348,0.006783,0.005588
0.004716,-0.004837,-0.003021,0.004348,0.006601,0.005222
0.005577,-0.004391,-0.001846,0.004348,0.006237,0.004856
0.006511,-0.003424,-0.001213,0.004274,0.006055,0.003977
0.008379,-0.002978,-0.00049,0.004274,0.005873,0.003538
0.009384,-0.002458,0.000233,0.004199,0.005509,0.003098
0.01039,-0.001416,0.00177,0.004125,0.005236,0.00222
0.011323,-0.000896,0.002584,0.004125,0.005054,0.00178
0.013335,-0.000375,0.003397,0.004051,0.0046,0.001341
0.01434,0.00074,0.005115,0.003976,0.004418,0.000609
0.015418,0.001335,0.006019,0.003902,0.004145,0.000243
0.0175,0.002004,0.006833,0.003902,0.003781,-0.000123
0.018506,0.003268,0.008731,0.003828,0.003599,-0.000782
0.019583,0.003938,0.009725,0.003754,0.003326,-0.001075
0.021594,0.004533,0.01072,0.003679,0.003053,-0.001441
0.0226,0.005945,0.012799,0.003605,0.002962,-0.001954
0.023534,0.006615,0.013884,0.003531,0.00278,-0.002247
0.025258,0.007358,0.014878,0.003531,0.002689,-0.002466
0.026048,0.008994,0.017048,0.003457,0.002417,-0.002906
0.026694,0.009812,0.018042,0.003382,0.002326,-0.003052
0.027915,0.010705,0.019037,0.003308,0.002235,-0.003199
0.028418,0.012564,0.021025,0.003234,0.002053,-0.003491
0.028849,0.013456,0.021929,0.00316,0.001871,-0.003638
0.029495,0.014423,0.022833,0.003085,0.00178,-0.003711
0.029782,0.015389,0.02437,0.003011,0.001598,-0.003857
0.029926,0.017323,0.025093,0.002788,0.001507,-0.003857
0.029998,0.018364,0.025816,0.00264,0.001325,-0.003931
0.029998,0.019331,0.026901,0.002491,0.001143,-0.004004
0.029854,0.021264,0.027353,0.002268,0.001052,-0.004004
0.029495,0.022231,0.027805,0.002046,0.000961,-0.003931
0.02928,0.023197,0.028528,0.001897,0.000779,-0.003931
0.028921,0.024982,0.028709,0.001526,0.000688,-0.003857
0.028059,0.025874,0.02889,0.001303,0.000597,-0.003857
0.027556,0.026692,0.029071,0.001154,0.000597,-0.003784
0.026909,0.02818,0.029071,0.000783,0.000597,-0.003711
0.025473,0.028774,0.029071,0.00056,0.000597,-0.003711
0.024755,0.029444,0.02898,0.000337,0.000779,-0.003638
0.023893,0.030485,0.028709,-0.000108,0.000779,-0.003491
0.023031,0.030857,0.028438,-0.000331,0.000961,-0.003491
0.021163,0.031154,0.028167,-0.000554,0.001234,-0.003418
0.02023,0.031452,0.027624,-0.000925,0.001325,-0.003345
0.019224,0.031452,0.027263,-0.001148,0.001507,-0.003199
0.017213,0.031377,0.026811,-0.001297,0.00178,-0.003199
0.016208,0.030857,0.025907,-0.001742,0.001962,-0.003052
0.015274,0.03041,0.025364,-0.001891,0.002053,-0.002979
0.013263,0.02989,0.024822,-0.002039,0.002326,-0.002979
0.012257,0.028551,0.023647,-0.002336,0.002417,-0.002832
0.011323,0.027733,0.023014,-0.002485,0.002508,-0.002759
0.009384,0.026841,0.022291,-0.002559,0.002599,-0.002686
0.00845,0.024908,0.020664,-0.002708,0.002599,-0.002613
0.007589,0.023792,0.01985,-0.002856,0.002508,-0.002466
0.005793,0.022677,0.018946,-0.00293,0.002417,-0.002466
0.004931,0.020372,0.017048,-0.003005,0.002235,-0.002393
0.004069,0.019182,0.016053,-0.003005,0.002053,-0.00232
0.002417,0.017918,0.014878,-0.003079,0.001689,-0.002247
0.001627,0.016728,0.012618,-0.003079,0.001416,-0.002173
0.000909,0.014274,0.011353,-0.003005,0.001143,-0.0021
-0.000528,0.01301,0.010177,-0.003005,0.000779,-0.002027
-0.001246,0.011746,0.007646,-0.00293,0.000143,-0.002027
-0.001892,0.009217,0.006381,-0.002782,-0.000221,-0.001954
-0.003257,0.008028,0.005115,-0.002708,-0.000676,-0.001881
-0.003975,0.006763,0.002584,-0.002633,-0.001495,-0.001954
-0.004693,0.004309,0.001409,-0.002485,-0.001858,-0.001881
-0.006202,0.00312,0.000324,-0.002411,-0.002404,-0.001881
-0.006992,0.00193,-0.000851,-0.002336,-0.003223,-0.001881
-0.007782,-0.000301,-0.002931,-0.002262,-0.003587,-0.001881
-0.009434,-0.001491,-0.003835,-0.002188,-0.004041,-0.001881
-0.010296,-0.002458,-0.004739,-0.002188,-0.004769,-0.001954
-0.011086,-0.00454,-0.006275,-0.002039,-0.005133,-0.001954
-0.011876,-0.005506,-0.006908,-0.001965,-0.005406,-0.001954
-0.013456,-0.006399,-0.007541,-0.001965,-0.005861,-0.001954
-0.014246,-0.008109,-0.008807,-0.001816,-0.006042,-0.001954
-0.014964,-0.008927,-0.009439,-0.001816,-0.006224,-0.002027
-0.016401,-0.009745,-0.010072,-0.001816,-0.006497,-0.002027
-0.017047,-0.011158,-0.011519,-0.001668,-0.006588,-0.001954
-0.017766,-0.011901,-0.012332,-0.001668,-0.006679,-0.001954
-0.018987,-0.012571,-0.013146,-0.001594,-0.006679,-0.002027
-0.019633,-0.014058,-0.014863,-0.001519,-0.006588,-0.001954
-0.020208,-0.014802,-0.015677,-0.001445,-0.006497,-0.001954
-0.021285,-0.015545,-0.016581,-0.001371,-0.006224,-0.001954
-0.02186,-0.016958,-0.018299,-0.001297,-0.006042,-0.001881
-0.022362,-0.017627,-0.019202,-0.001297,-0.005861,-0.001881
-0.023296,-0.018297,-0.020106,-0.001297,-0.005497,-0.001881
-0.023727,-0.018966,-0.021734,-0.001297,-0.005224,-0.001734
-0.024158,-0.020081,-0.022547,-0.001297,-0.004951,-0.001734
-0.024876,-0.020602,-0.023361,-0.001297,-0.004314,-0.001661
-0.025235,-0.021122,-0.024898,-0.001371,-0.004041,-0.001588
-0.025523,-0.022015,-0.025621,-0.001445,-0.003678,-0.001514
-0.025954,-0.022461,-0.026344,-0.001445,-0.003314,-0.001441
-0.026097,-0.022833,-0.0277,-0.001519,-0.002677,-0.001441
-0.026241,-0.023502,-0.028333,-0.001594,-0.002313,-0.001295
-0.026313,-0.023725,-0.028875,-0.001668,-0.00204,-0.001222
-0.026313,-0.024022,-0.02987,-0.001742,-0.001404,-0.001148
-0.026241,-0.024469,-0.030231,-0.001816,-0.001131,-0.001075
-0.026025,-0.024617,-0.030683,-0.001891,-0.000858,-0.001002
-0.025882,-0.02484,-0.030954,-0.001965,-0.000403,-0.001002
-0.025595,-0.025064,-0.031497,-0.002113,-0.00013,-0.000855
-0.025379,-0.025138,-0.031678,-0.002188,5.2e-05,-0.000855
-0.024733,-0.025138,-0.031858,-0.002262,0.000416,-0.000709
-0.024445,-0.025138,-0.032039,-0.002411,0.000507,-0.000709
-0.024014,-0.025138,-0.032039,-0.002485,0.000688,-0.000709
-0.023152,-0.025064,-0.03213,-0.002559,0.000961,-0.000636
-0.022722,-0.02484,-0.032039,-0.002708,0.001052,-0.000636
-0.022219,-0.024766,-0.032039,-0.002782,0.001234,-0.000636
-0.021141,-0.024617,-0.031949,-0.002856,0.001416,-0.000636
-0.020567,-0.02432,-0.031678,-0.003005,0.001598,-0.000563
-0.019992,-0.024246,-0.031587,-0.003079,0.001689,-0.000636
-0.018771,-0.024097,-0.031406,-0.003227,0.001962,-0.000563
-0.018125,-0.023725,-0.030954,-0.003376,0.002053,-0.000563
-0.017478,-0.023576,-0.030683,-0.00345,0.002235,-0.000636
-0.016185,-0.023428,-0.030412,-0.003525,0.002508,-0.000636
-0.015467,-0.023056,-0.029598,-0.003747,0.002599,-0.000636
-0.014821,-0.022833,-0.029237,-0.003822,0.00278,-0.000636
-0.013456,-0.02261,-0.028694,-0.003822,0.003053,-0.000636
-0.01281,-0.022386,-0.02761,-0.003896,0.003144,-0.000636
-0.012091,-0.02194,-0.027067,-0.00397,0.003326,-0.000636
-0.010655,-0.021643,-0.026434,-0.00397,0.003417,-0.000636
-0.010009,-0.021345,-0.024988,-0.003896,0.00369,-0.000563
-0.009362,-0.020751,-0.024265,-0.003896,0.003781,-0.000563
-0.007997,-0.020379,-0.023451,-0.003747,0.003781,-0.000489
-0.007351,-0.020081,-0.021643,-0.003673,0.003963,-0.000416
-0.006705,-0.019263,-0.020649,-0.003525,0.004054,-0.000416
